"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","rllt__details 5","rllt__details 6","BSaJxc","yYlJEf href 2"
"Bubble Stop","· Bubble tea store","4.9","(168)","8 Burnt Ash Rd","⋅ Closes 8 pm","Open","""Just great , tasty  and exceptional service !""","bubble tea","https://www.google.com/maps/dir//Bubble+Stop,+8+Burnt+Ash+Rd,+London+SE12+8PZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a99309e11919:0xadd30d19a1703858?sa=X&ved=1t:57443&ictx=111","Directions","","","",""
"Mooboo Elephant & Castle","·  · Bubble tea store","4.8","(37)","££","18 London Rd","· 020 4617 1736","""Lovely staff, fab .""","bubble tea","https://www.mooboo.co/","Directions","⋅ Closes 8 pm","Open","Website","https://www.google.com/maps/dir//Mooboo+Elephant+%26+Castle,+18+London+Rd,+Elephant+and+Castle,+London+SE1+6JX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605ecfd855de7:0x62c8bd38a5ed05b?sa=X&ved=1t:57443&ictx=111"
"Bubbleology Brick Lane","·  · Bubble tea store","4.8","(260)","££","66 Brick Ln","· 020 3500 1717",""" there is the highest quality and the best I've tasted.""","Bubble tea","http://www.bubbleology.co.uk/","Directions","⋅ Closes 11 pm","Open","Website","https://www.google.com/maps/dir//Bubbleology+Brick+Lane,+66+Brick+Ln,+London+E1+6RL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761dc6a5263793:0x26d354b73cfe340b?sa=X&ved=1t:57443&ictx=111"
"Mooboo Covent Garden","·  · Bubble tea store","4.1","(178)","££","25 New Row","· 07719 782283","""Lovely staff, great service and amazing ""","bubble tea","https://www.mooboo.co/","Directions","⋅ Closes 10 pm","Open","Website","https://www.google.com/maps/dir//Mooboo+Covent+Garden,+25+New+Row,+London+WC2N+4LA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876056261057e65:0xa17b8d76936d8d83?sa=X&ved=1t:57443&ictx=111"
"Sakura Bubble Tea","· Bubble tea store","5.0","(1)","","48 Plumstead High St","","""Tried the pineapple and kiwi  and the paneer philly sandwich.""","bubble tea","","Directions","","Open now","","https://www.google.com/maps/dir//Sakura+Bubble+Tea,+48+Plumstead+High+St,+London+SE18+1SL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a9528afe5e4b:0x18a31c8c94eec0f0?sa=X&ved=1t:57443&ictx=111"
"T4 Liverpool Street","· Bubble tea store","4.9","(1.3K)","⋅ Closes 9 pm","8 Brushfield St","· 020 8127 1449","""The  is amazing and the staff is super efficient.""","bubble tea","http://www.instagram.com/t4.liverpoolst","Directions","","Open","Website","https://www.google.com/maps/dir//T4+Liverpool+Street,+8+Brushfield+St,+London+E1+6AN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761dd1f228252d:0x61a010b347d88c5d?sa=X&ved=1t:57443&ictx=111"
"ChaHalo","· Bubble tea store","4.3","(18)","⋅ Closes 10:30 pm","52-53 Dean St","· 07845 213861","""The jasmine green  frappe is delicious.""","tea","","Directions","","Open","","https://www.google.com/maps/dir//ChaHalo,+52-53+Dean+St,+London+W1D+5BL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605007d5ba46b:0x5bfa507bc6794cf1?sa=X&ved=1t:57443&ictx=111"
"T4 Elephant and Castle","· Bubble tea store","4.7","(66)","⋅ Closes 9 pm","137 Walworth Rd","· 07387 226869","""Fast service and delicious .""","bubble tea","","Directions","","Open","","https://www.google.com/maps/dir//T4+Elephant+and+Castle,+137+Walworth+Rd,+London+SE17+1RW/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605003f6889b3:0x609730719a1aaa74?sa=X&ved=1t:57443&ictx=111"
"Gonuts Bubble Tea London","· Bubble tea store","4.7","(493)","⋅ Closes 10 pm","228 Holloway Rd","","""delicious , perfect ice level with warm fresh chewy tapioca.""","bubble tea drink","","Directions","","Open","","https://www.google.com/maps/dir//Gonuts+Bubble+Tea+London,+228+Holloway+Rd,+London+N7+8DA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b741c563975:0x5b136641a7f217f2?sa=X&ved=1t:57443&ictx=111"
"Chun Fun How (London Victoria)","· Bubble tea store","4.9","(211)","⋅ Closes 8 pm","5 Artillery Row","· 07443 884258","""The staff are super friendly and the  have amazing flavour!""","bubble teas","https://www.instagram.com/chunfunhowlondon.victoria/","Directions","","Open","Website","https://www.google.com/maps/dir//Chun+Fun+How+(London+Victoria),+5+Artillery+Row,+London+SW1P+1RH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605b03d283e81:0xe7c9a31dc121571b?sa=X&ved=1t:57443&ictx=111"
