"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"JY House London 久遇茶室","· Tea Shop","4.9","(31)","9, 10 Avery Row","· 020 3659 2395","⋅ Closes 7 pm","Open","""Great selection of  with very nice staff and beautiful tearoom.""","teas","http://www.jyhouse.co.uk/","Website","https://www.google.com/maps/dir//9,+JY+House+London+%E4%B9%85%E9%81%87%E8%8C%B6%E5%AE%A4,+10+Avery+Row,+London+W1K+4AL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876055e3b9e611d:0xe0f0cd4c357ad45?sa=X&ved=1t:57443&ictx=111","Directions"
"Golden Tea凰茶-Camden","· Bubble tea store","4.4","(192)","S5, Water Ln.","· 07513 341008","⋅ Closes 7 pm","Open","""The  are delicious, especially because the bubbles are sweet!""","bubble teas","http://www.goldenteauk.com/","Website","https://www.google.com/maps/dir//Golden+Tea%E5%87%B0%E8%8C%B6-Camden,+S5,+Water+Ln.+NW1+8JZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b18001de4c1:0xdfb00f598e57a8cd?sa=X&ved=1t:57443&ictx=111","Directions"
"Charlie's Tea","· Bubble tea store","4.8","(249)","58 St Giles High St","","⋅ Closes 10 pm","Open","""Super delicious  and the staff are really sweet.""","bubble tea","https://www.instagram.com/charlies.tea.london/","Website","https://www.google.com/maps/dir//Charlie's+Tea,+58+St+Giles+High+St,+London+WC2H+8LH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bed5bba2d2b:0xf9a6cc244db364c9?sa=X&ved=1t:57443&ictx=111","Directions"
"Bubblewrap Dessert Shop Chinatown","·  · Dessert shop","4.4","(1.8K)","24 Wardour St","· 020 7734 4535","££","Open","""Stunning -wraps with lots of options and very tasty.""","bubble","http://bubblewraplondon.com/","Website","https://www.google.com/maps/dir//Bubblewrap+Dessert+Shop+Chinatown,+24+Wardour+St,+London+W1D+6QJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d24b946f19:0xae4733ea7c23fe99?sa=X&ved=1t:57443&ictx=111","Directions"
"Ding Tea Hackney - Bubble Tea Store","· Bubble tea store","4.6","(82)","206A Mare St","· 020 3935 9645","⋅ Closes 8 pm","Open","""The  is rich and creamy, and the  is cooked to perfection.""","tea","https://www.dingteahackney.co.uk/","Website","https://www.google.com/maps/dir//Ding+Tea+Hackney+-+Bubble+Tea+Store,+206A+Mare+St,+London+E8+3RD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761df81f34eebd:0x53a933bdddfa471c?sa=X&ved=1t:57443&ictx=111","Directions"
"Yi Fang Fruit Tea Holborn","· Bubble tea store","4.8","(179)","150 Grays Inn Rd","· 020 7837 2112","⋅ Closes 10 pm","Open","""Delicious milk  and very friendly staff""","tea","","","https://www.google.com/maps/dir//Yi+Fang+Fruit+Tea+Holborn,+150+Grays+Inn+Rd,+London+WC1X+8AX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b8bf9f0a591:0x429eecc55953bfbd?sa=X&ved=1t:57443&ictx=111","Directions"
"The Whale Tea Greenwich","· Bubble tea store","4.2","(120)","47 Greenwich Church St","· 020 3649 0688","⋅ Closes 9 pm","Open","""The  quality here is superb, and I've tried  around London.""","tea","http://www.thewhaletea.co.uk/","Website","https://www.google.com/maps/dir//The+Whale+Tea+Greenwich,+47+Greenwich+Church+St,+London+SE10+9BL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760309ca44380f:0xe82bf5c5b57ad127?sa=X&ved=1t:57443&ictx=111","Directions"
"ChaTraMue - The Original Thai Tea","· Bubble tea store","4.2","(56)","68 Old Compton St","· 07760 404466","⋅ Closes 10 pm","Open","""My partner had the Green Milk  and it had a nice earthy flavour.""","Tea","https://chatramue.co.uk/","Website","https://www.google.com/maps/dir//ChaTraMue+-+The+Original+Thai+Tea,+68+Old+Compton+St,+London+W1D+4UJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760500483a061f:0x3fe7cdb4bd5b61ca?sa=X&ved=1t:57443&ictx=111","Directions"
"Ding Tea Angel","· Bubble tea store","4.4","(203)","28 Upper St","· 020 7209 5041","⋅ Closes 10 pm","Open","""Above all, really delicious  with dairy free options!""","bubble tea","http://ding-tea.co.uk/","Website","https://www.google.com/maps/dir//Ding+Tea+Angel,+28+Upper+St,+London+N1+0PN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bbc9c9e3eb5:0x57453e84320d8758?sa=X&ved=1t:57443&ictx=111","Directions"
"Chai Chee","· Bubble tea store","4.7","(71)","249 Elgin Ave.","","⋅ Closes 8 pm","Open","""Delicious  and very quick and good customer service.""","bubble tea","","","https://www.google.com/maps/dir//Chai+Chee,+249+Elgin+Ave.,+London+W9+1NJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bd6e07e6393:0x7b0b277f4c5008a3?sa=X&ved=1t:57443&ictx=111","Directions"
