"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","BSaJxc","yYlJEf href 2","uDyWh 3"
"Boba & More","· Bubble tea store","3.8","(46)","44 Parkway","· 020 7482 5360","⋅ Closes 1 am","Open","""Delicious , and very friendly service!""","boba tea","https://www.google.com/maps/dir//Boba+%26+More,+44+Parkway,+London+NW1+7AH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b2b71eb7c2d:0xc5194d611b5993cd?sa=X&ved=1t:57443&ictx=111","Directions","","",""
"T4 Strand","· Bubble tea store","4.2","(121)","137 Strand","· 020 7240 8240","⋅ Closes 8 pm","Open","""Delicious  and really friendly staff.""","bubble tea","https://www.t4.co.uk/","Directions","Website","https://www.google.com/maps/dir//T4+Strand,+137+Strand,+London+WC2R+1HH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605e60338dc91:0xe642890b484e2e43?sa=X&ved=1t:57443&ictx=111",""
"Fortnum & Mason","· Tea Shop","4.6","(23K)","181 Piccadilly","· 020 7734 8040","⋅ Closes 8 pm","Open","""Amazing , delicious ice cream, nice seating areas, and unique products.""","tea","http://www.fortnumandmason.com/","Directions","Website","https://www.google.com/maps/dir//Fortnum+%26+Mason,+181+Piccadilly,+London+W1A+1ER/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d65e3fffff:0x583412f059ed32b5?sa=X&ved=1t:57443&ictx=111",""
"Tonkin Cafe - Vietnamese Kitchen and Bubble Tea","·  · Bubble tea store","4.9","(144)","29 Leather Ln","· 07512 650719","£1–10","Open","""The  is delicious, and the staff is so so so kind and friendly!""","bubble tea","http://tonkincafe.com/","Directions","Website","https://www.google.com/maps/dir//Tonkin+Cafe+-+Vietnamese+Kitchen+and+Bubble+Tea,+29+Leather+Ln,+London+EC1N+7TE/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bd5a8139d27:0x4ca5e58ede2fc221?sa=X&ved=1t:57443&ictx=111",""
"Kova Patisserie Chinatown","· Bubble tea store","4.3","(520)","20A Newport Ct","","⋅ Closes 11 pm","Open","""Really delicious, light and fluffy japanese cakes and !""","bubble tea","http://www.kovapatisserie.com/","Directions","Website","https://www.google.com/maps/dir//Kova+Patisserie+Chinatown,+20A+Newport+Ct,+London+WC2H+7JS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605b63ebbd1bd:0x8dc86cd5830f60e6?sa=X&ved=1t:57443&ictx=111",""
"BOBA 1+1 (台灣1+1茶舍)","· Bubble tea store","4.9","(224)","271 Eversholt St","","⋅ Opens 12 pm Tue","Closed","""My local spot for a nice , great service, everything made fresh!""","bubble tea","","Directions","","https://www.google.com/maps/dir//BOBA+1%2B1+(%E5%8F%B0%E7%81%A31%2B1%E8%8C%B6%E8%88%8D),+271+Eversholt+St,+London+NW1+1BA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b0189b2c57f:0x8d6746c3e98c10a4?sa=X&ved=1t:57443&ictx=111",""
"KISSATEN 𓃦 | FUYU ◒","· Bubble tea store","4.6","(115)","72 Old Compton St","","⋅ Closes 9 pm","Open","""The  is chewy, tastes fresh, and has the right amount of sweetness!""","boba","http://www.kissaten.co.uk/","Directions","Website","https://www.google.com/maps/dir//KISSATEN+%F0%93%83%A6+%7C+FUYU+%E2%97%92,+72+Old+Compton+St,+London+W1D+4UN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876057c042fcaeb:0x2de7e84cd23ab4bd?sa=X&ved=1t:57443&ictx=111",""
"Min Tea","· Bubble tea store","3.7","(171)","34 Newport Ct","","⋅ Closes 10:45 pm","Open","""I had the passionfruit  with lychee  and it was amazing 10/10.""","tea","http://mintea.co.uk/","Directions","Website","https://www.google.com/maps/dir//Min+Tea,+34+Newport+Ct,+London+WC2H+7PQ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876057267582117:0x881f2d111d4b6471?sa=X&ved=1t:57443&ictx=111","boba"
"T4","·  · Bubble tea store","4.0","(789)","Westfield, Ariel Way, Shepherd's Bush Grn","· 020 8749 3900","££","Open","""My favourite  for  - reliably delicious every time!""","place","https://www.t4.co.uk/","Directions","Website","https://www.google.com/maps/dir//T4,+Westfield,+Ariel+Way,+Shepherd's+Bush+Grn,+London+W12+7GA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760fdb69955e4b:0x32a57336046eb306?sa=X&ved=1t:57443&ictx=111","bubble tea"
"T4 Shoreditch","· Bubble tea store","4.2","(71)","221 Old St","· 020 7253 4210","⋅ Closes 1 am","Open","""The staff members were true experts in the art of .""","bubble tea","https://www.t4.co.uk/","Directions","Website","https://www.google.com/maps/dir//T4+Shoreditch,+221+Old+St,+London+EC1V+9HE/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d15c0efe275:0xae7725890aa94d3f?sa=X&ved=1t:57443&ictx=111",""
