"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","rllt__details 6"
"RJ Bubble Tea","· Bubble tea store","4.5","(49)","Thornton Heath","· 020 8412 0113","⋅ Closes 2:30 am","Open","""The  menu has great variety, and the flavors are spot on.""","bubble tea","https://rjboba.com/","Website","https://www.google.com/maps/dir//RJ+Bubble+Tea,+386+Brigstock+Rd,+Thornton+Heath+CR7+7JF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487607007ad80d7b:0xe7b24c008ca8d127?sa=X&ved=1t:57443&ictx=111","Directions",""
"Sakurado","· Shop","4.6","(1.3K)","66 Shaftesbury Ave","· 020 3617 7829","⋅ Closes 11 pm","Open","""The  are very fresh and taste very milky.""","bubble tea","https://www.sakurado.co.uk/","Website","https://www.google.com/maps/dir//Sakurado,+66+Shaftesbury+Ave,+London+W1D+6LX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605d2d4d2e48f:0x39bde6cded8a15ef?sa=X&ved=1t:57443&ictx=111","Directions",""
"Panda Cup Coffee","·  · Bubble tea store","4.9","(315)","27 Blackfriars Rd","","£1–10","Closes soon","""Incredibly friendly staff and incredible .""","bubble teas","https://www.pandacup.co.uk/","Website","https://www.google.com/maps/dir//Panda+Cup+Coffee,+27+Blackfriars+Rd,+London+SE1+8NY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876055d246413bf:0xd0f67da07ecb0f34?sa=X&ved=1t:57443&ictx=111","Directions","⋅ 3 pm"
"Bubblee","· Bubble tea store","4.4","(5)","Canopy Market","· 07751 575171","⋅ Closes 8 pm","Open","""The grape  is used with real fruit which is great!""","bubble tea","","","https://www.google.com/maps/dir//Bubblee,+Canopy+Market,+London+N1C+4BH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b7eed35d27d:0x56c6db510e3c5437?sa=X&ved=1t:57443&ictx=111","Directions",""
"Hey Sugar","· Bubble tea store","2.6","(32)","22 Newport Ct","","","","""This  has nice friendly and helpful staff.""","bubble tea shop","","","https://www.google.com/maps/dir//Hey+Sugar,+22+Newport+Ct,+London+WC2H+7JS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605000aae8b73:0x92d4d2b19084df9a?sa=X&ved=1t:57443&ictx=111","Directions",""
"Whittard of Chelsea Oxford Circus","· Tea Shop","4.5","(69)","295 Oxford St","· 020 3337 6554","⋅ Closes 8 pm","Open","""Great offering and selection of  and .""","teas","https://stores.whittard.co.uk/whittard-of-chelsea-oxford-circus","Website","https://www.google.com/maps/dir//Whittard+of+Chelsea+Oxford+Circus,+295+Oxford+St,+London+W1C+2DY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605472aa0a46f:0x9170f0dc8995f76a?sa=X&ved=1t:57443&ictx=111","Directions",""
"Chinatown Bakery - Tong Tea","·  · Bubble tea store","4.4","(513)","9 Wardour St","· 020 7734 3888","£1–10","Open","""Worth coming to this one for the Green  soft serve""","Tea","","","https://www.google.com/maps/dir//Chinatown+Bakery+-+Tong+Tea,+9+Wardour+St,+London+W1D+6PF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d2344954b9:0xa03b45cbc015151b?sa=X&ved=1t:57443&ictx=111","Directions","⋅ Closes 10 pm"
"EL&N London","·  · Cafe","4.3","(3.3K)","112 Wardour St","","£10–20","Open","""pastries and  are really good, I hightly recomend it.""","bubble tea","http://www.elnlondon.com/","Website","https://www.google.com/maps/dir//EL%26N+London,+112+Wardour+St,+London+W1F+0TS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605d3ed28c1e3:0x779be7a5207e140d?sa=X&ved=1t:57443&ictx=111","Directions","⋅ Closes 11 pm"
"Kova Patisserie Soho","·  · Bubble tea store","4.3","(711)","Unit 5, 9-12 St Anne's Ct","","££","Open","""The  is authentic and refreshing.""","bubble tea","http://www.kovapatisserie.com/","Website","https://www.google.com/maps/dir//Unit+5,+Kova+Patisserie+Soho,+9-12+St+Anne's+Ct,+London+W1F+0BB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d349aa1a7f:0xe36d05ffd5804957?sa=X&ved=1t:57443&ictx=111","Directions","⋅ Closes 10:30 pm"
"NO.79 Coffee & Mousse","·  · Bubble tea store","4.3","(665)","Ground Floor, 79 Dean St","· 07462 138209","£10–20","Open","""the mango  was amazing, and the strawberry cake was very fresh!""","bubble tea","http://www.number79.co.uk/","Website","https://www.google.com/maps/dir//Ground+Floor,+NO.79+Coffee+%26+Mousse,+79+Dean+St,+London+W1D+3SJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876056972439a27:0xc9e270a505ee0edb?sa=X&ved=1t:57443&ictx=111","Directions","⋅ Closes 10:30 pm"
"SanZBoba","· Bubble tea store","3.9","(16)","Kingdom of Flavour, 260 Old Kent Rd","· 07534 413299","⋅ Opens 12 pm Tue","Closed","""You guys made me a fan of  .""","Bubble Tea","http://www.fablondonltd.com/","Website","https://www.google.com/maps/dir//SanZBoba,+Kingdom+of+Flavour,+260+Old+Kent+Rd,+London+SE1+5UB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876053ae596d43f:0x7571794c8a464ed1?sa=X&ved=1t:57443&ictx=111","Directions",""
"My Cup of Tea Ltd","· Tea Shop","4.6","(59)","5 Denman Pl","· 020 7287 2255","⋅ Closes 6 pm","Open","""Great  flavor and selection.""","tea","http://www.mycupoftea.co.uk/","Website","https://www.google.com/maps/dir//My+Cup+of+Tea+Ltd,+5+Denman+Pl,+London+W1D+7AH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d3ed63e67b:0x26384da402ca4b63?sa=X&ved=1t:57443&ictx=111","Directions",""
"Candy Cafe","·  · Cafe","4.0","(586)","First Floor, 3 Macclesfield St","· 020 8103 5768","£","Open","""The tapioca is delicious, and the  itself is really good.""","tea","http://www.candycafe.co.uk/","Website","https://www.google.com/maps/dir//First+Floor,+Candy+Cafe,+3+Macclesfield+St,+London+W1D+6AU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604d25a16bc41:0xc920680d56e45cb7?sa=X&ved=1t:57443&ictx=111","Directions","⋅ Closes 11:30 pm"
