"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","uDyWh 2","yYlJEf href","UbRuwe","BSaJxc","yYlJEf href 2","rllt__details 6"
"Mr bubble Tea","· Bubble tea store","4.7","(43)","21 High St N","· 07933 418888","⋅ Closes 7 pm","Open","""delicious  and lovely staff, a great  in east ham""","bubble tea","https://www.google.com/maps/dir//Mr+bubble+Tea,+21+High+St+N,+London+E6+1HS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a7df39044091:0x40391d94a206b870?sa=X&ved=1t:57443&ictx=111","Directions","","",""
"Mine Bubble Tea - Shepherd's Bush W12","· Bubble tea store","4.8","(178)","244 Goldhawk Rd","· 020 8137 0868","⋅ Closes 10 pm","Open","""Delicious  from attentive and friendly owners/staff.""","bubble tea","https://mine-bubble-tea.square.site/","Directions","Website","https://www.google.com/maps/dir//Mine+Bubble+Tea+-+Shepherd's+Bush+W12,+244+Goldhawk+Rd,+London+W12+9PE/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760f0cda02b8d5:0x62d13c09515d6c23?sa=X&ved=1t:57443&ictx=111",""
"Boba Blast Bubble Tea","·  · Bubble tea store","3.9","(337)","30 Plashet Grove","","££","Open","""The  was amazing and I am very fussy with my .""","boba tea","https://www.ubereats.com/gb/store/boba-blast-bubble-tea/yPjbIIl1QjmdYMRFUKTOeQ","Directions","Website","https://www.google.com/maps/dir//Boba+Blast+Bubble+Tea,+30+Plashet+Grove,+London+E6+1AE/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a742efe49aaf:0xce3b11064215f437?sa=X&ved=1t:57443&ictx=111","⋅ Closes 1 am"
"PÜRCHA","· Bubble tea store","4.4","(325)","7 Kingsway","· 020 7240 9131","⋅ Closes 9 pm","Open","""Freshly brewed  from  leaves, so the flavour is wonderful.""","bubble tea","https://www.purcha.co.uk/","Directions","Website","https://www.google.com/maps/dir//P%C3%9CRCHA,+7+Kingsway,+London+WC2B+6XG/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487604ca992e56d5:0x1e0f7ab6d50c9d60?sa=X&ved=1t:57443&ictx=111",""
"Bubble Station","· Bubble tea store","4.6","(186)","Camden Lock Market, Unit 60, Ground Floor","· 07490 036323","⋅ Closes 7 pm","Open","""The  are fresh, and the tapioca pearls are perfectly chewy.""","teas","","Directions","","https://www.google.com/maps/dir//Bubble+Station,+Camden+Lock+Market,+Unit+60,+Ground+Floor+NW1+8AL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bd61d541909:0x917a48d09f3a7e87?sa=X&ved=1t:57443&ictx=111",""
"HEYTEA (SOHO)","·  · Tea room","4.4","(641)","Unit 2 Ground Floor, wingate house, 93-107 Shaftesbury Ave","· 020 7287 5971","££","Open","""Delicious  and efficient team making them rather quickly.""","bubble tea","","Directions","","https://www.google.com/maps/dir//Unit+2+Ground+Floor,+HEYTEA+(SOHO),+wingate+house,+93-107+Shaftesbury+Ave,+London+W1D+5DA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605e0c3848a55:0x4dd01ee660ba601a?sa=X&ved=1t:57443&ictx=111","⋅ Closes 10 pm"
"Teddy Bear Bubble Tea (Welling)","· Bubble tea store","4.8","(55)","Welling","· 07311 985813","⋅ Closes 7 pm","Open","""Friendly staff, great  and cute decor.""","bubble tea","http://teddybearbubbletea.co.uk/","Directions","Website","https://www.google.com/maps/dir//Teddy+Bear+Bubble+Tea+(Welling),+26+Bellegrove+Rd,+Welling+DA16+3PU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8afc5401a80e1:0x10cd947da8155a96?sa=X&ved=1t:57443&ictx=111",""
"Brick Lane Bubble Tea","·  · Bubble tea store","4.3","(57)","47 Brick Ln","","££","Open","""Lovely  and a great range of flavours.""","bubble tea","https://www.ubereats.com/store/brick-lane-bubble-tea/CvTvOiLiRy2sBKMSbTeOYg?diningMode=DELIVERY","Directions","Website","https://www.google.com/maps/dir//Brick+Lane+Bubble+Tea,+47+Brick+Ln,+London+E1+6RL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d428adeb885:0xe093835c7b42267d?sa=X&ved=1t:57443&ictx=111","⋅ Closes 11:30 pm"
"Molly Tea (Chinatown)","· Bubble tea store","4.7","(219)","21 Lisle St","· 07719 220491","⋅ Closes 10 pm","Open","""Their milk  has a light, fresh, and not overly sweet taste.""","tea","https://www.instagram.com/mollytea_uk","Directions","Website","https://www.google.com/maps/dir//Molly+Tea+(Chinatown),+21+Lisle+St,+London+WC2H+7BA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x4876050056ea72d3:0x643222f410961136?sa=X&ved=1t:57443&ictx=111",""
"Beyond Boba Bubble Tea","· Bubble tea store","4.3","(320)","Ilford","· 07305 078876","⋅ Closes 11:30 pm","Open","""Amazing service and amazing  and refreshing drinks.""","bubble tea","","Directions","","https://www.google.com/maps/dir//unit+2,+Beyond+Boba+Bubble+Tea,+237+Ilford+Ln,+Ilford+IG1+2SB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a785f78a9c19:0xdaee1ebbdfee8ebf?sa=X&ved=1t:57443&ictx=111",""
