"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","rllt__details 6","uDyWh","uDyWh 2","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe"
"Mei Leaf Teahouse","·  · Tea Shop","4.8","(489)","££","99 Camden High St","· 020 7388 6704","⋅ Closes 7 pm","Open","""Very clean and bright, great selection of !""","teas","https://meileaf.com/","Website","https://www.google.com/maps/dir//Mei+Leaf+Teahouse,+99+Camden+High+St,+London+NW1+7JN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b1fe25e3b57:0x2bf2d6418760a811?sa=X&ved=1t:57443&ictx=111","Directions"
"Next Gen Boba - Bubble Tea Supplier","· Wholesaler","5.0","(14)","Unit 4 Regis Rd, Greater","· 0330 043 4006","⋅ Closes 6 pm","Open","","""I bought the  syrup tastes just like the !""","bubble tea","https://nextgenboba.com/","Website","https://www.google.com/maps/dir//Next+Gen+Boba+-+Bubble+Tea+Supplier,+Unit+4+Regis+Rd,+Greater,+London+NW5+3EW/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761b80ab770c23:0xa2e8774e5e92b3c8?sa=X&ved=1t:57443&ictx=111","Directions"
"T4 Westfield Stratford","·  · Bubble tea store","4.1","(1.1K)","Westfield stratford city, Montfichet Rd","· 020 8555 4090","££","Open","⋅ Closes 9 pm","""Reasonably priced, excellent quality ""","bubble tea","http://www.t4.co.uk/","Website","https://www.google.com/maps/dir//T4+Westfield+Stratford,+Westfield+stratford+city,+Montfichet+Rd,+London+E20+1EJ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d6386488089:0xfb13953204fd3a7a?sa=X&ved=1t:57443&ictx=111","Directions"
"Bubble Tea Time","· Bubble tea store","4.0","(44)","422 Brixton Rd, Stockwell Ave","","⋅ Closes 8 pm","Open","","""Nice , lovely staff and  well presented in the cups.""","bubble tea","https://www.instagram.com/bubbleteatime_brixton/","Website","https://www.google.com/maps/dir//Bubble+Tea+Time,+422+Brixton+Rd,+Stockwell+Ave,+London+SW9+7AY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760513d944033b:0x823d00ccf6707829?sa=X&ved=1t:57443&ictx=111","Directions"
"One Tea Taiwanese Bubble & Fruit Tea","· Bubble tea store","4.8","(70)","232 Merton Rd","· 020 3343 5998","⋅ Closes 8 pm","Open","","""Good quality  and good service.""","bubble tea","","","https://www.google.com/maps/dir//One+Tea+Taiwanese+Bubble+%26+Fruit+Tea,+232+Merton+Rd,+London+SW19+1EQ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487609cb3e348c4d:0x2d6539637ee26c88?sa=X&ved=1t:57443&ictx=111","Directions"
"Xing Fu Tang","· Bubble tea store","4.2","(156)","122 Middlesex St","· 020 3417 2202","⋅ Closes 9 pm","Open","","""Very clean
Nice tasting 
Lovely staff""","bubble tea","https://linktr.ee/xingfutang.city","Website","https://www.google.com/maps/dir//Xing+Fu+Tang,+122+Middlesex+St,+London+E1+7HY/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761ddfafce9a59:0x2411530d13385cb0?sa=X&ved=1t:57443&ictx=111","Directions"
"T4","· Bubble tea store","4.5","(128)","Unit F, 100 Lower Marsh","· 020 3161 0177","⋅ Closes 10:30 pm","Open","","""Amazing  with amazing customer service highly recommend you go !""","Bubble Tea","https://www.t4.co.uk/","Website","https://www.google.com/maps/dir//Unit+F,+T4,+100+Lower+Marsh,+London+SE1+7AB/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605f19231caad:0x4d066f92928074e8?sa=X&ved=1t:57443&ictx=111","Directions"
"Boba & Beans","· Bubble tea store","4.6","(10)","117 Commercial Rd","· 07940 060071","⋅ Closes 12 am","Open","","""Lovely customer service, personalised , absolutely delicious""","boba","","","https://www.google.com/maps/dir//Boba+%26+Beans,+117+Commercial+Rd,+London+E1+1RD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760367a0668375:0xcf75e22261e95ee5?sa=X&ved=1t:57443&ictx=111","Directions"
"T4 Paddington","· Bubble tea store","4.5","(117)","4B Praed St","· 020 7258 7488","⋅ Closes 9 pm","Open","","""The staff is very nice and the  are always well-made.""","bubble teas","http://t4.co.uk/","Website","https://www.google.com/maps/dir//T4+Paddington,+4B+Praed+St,+London+W2+1JX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bef4fb4a833:0x1c16744787059aad?sa=X&ved=1t:57443&ictx=111","Directions"
"JusBoba","· Bubble tea store","3.8","(10)","8 Plumstead High St","· 020 8855 5179","⋅ Opens 5:30 pm","Closed","","""Great  for a decent price and friendly service!""","bubble tea","https://www.order.store/london/food-delivery/jusboba/JmYhyoa1TcWNcy6mYpHROw/?utm_source=web-restaurant-manager","Website","https://www.google.com/maps/dir//JusBoba,+8+Plumstead+High+St,+London+SE18+1SN/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a9fd9cba1331:0x1643b867a580db80?sa=X&ved=1t:57443&ictx=111","Directions"
