"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","uDyWh","uDyWh 2","uDyWh 3","yYlJEf href","rllt__details 4","BSaJxc","yYlJEf href 2","rllt__details 5"
"Frozen River Bubble Tea 霜江茶行","· Bubble tea store","4.7","(23)","Ground Floor, shop, 213 Holloway Rd","Temporarily closed","""High quality  with a good selection of  and toppings.""","tea","teas","https://www.google.com/maps/dir//Ground+Floor,+Frozen+River+Bubble+Tea+%E9%9C%9C%E6%B1%9F%E8%8C%B6%E8%A1%8C,+shop,+213+Holloway+Rd,+London+N7+8DL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bbebbff0dbf:0xe55eac3e9f7c4f4c?sa=X&ved=1t:57443&ictx=111","","","",""
"ThirsTEA Bubble Tea","· Bubble tea store","4.3","(103)","287A Cambridge Heath Rd","· 020 3222 0600","""Had a strawberry fruit  with lychee  balls and it was stunning!""","tea","boba","http://www.thirstealdn.co.uk/","Temporarily closed","Website","https://www.google.com/maps/dir//ThirsTEA+Bubble+Tea,+287A+Cambridge+Heath+Rd,+London+E2+0EL/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d7beeab00c9:0xca8937c33c6d11d8?sa=X&ved=1t:57443&ictx=111",""
"Bubble Tea and Cafe","· Bubble tea store","3.7","(3)","10 Court St","· 020 7247 6735","","","","","Temporarily closed","","https://www.google.com/maps/dir//Bubble+Tea+and+Cafe,+10+Court+St,+London+E1+1DG/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761d52d84524f5:0x9cda67e7b3727cac?sa=X&ved=1t:57443&ictx=111",""
"Lily Jasmine","· Bubble tea store","4.5","(143)","25 Camden Passage","· 07709 043406","""Great fresh fruit  and even better service""","tea","","","Temporarily closed","","https://www.google.com/maps/dir//Lily+Jasmine,+25+Camden+Passage,+London+N1+8EA/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761ba4fd2ff8e7:0x35d91b618aa8cb6a?sa=X&ved=1t:57443&ictx=111",""
"ONE ZO Bubble Tea 丸作食茶","· Bubble tea store","4.5","(46)","49 Red Lion St","","""Incredibly good , cheaper than a lot of other  in London;""","bubble tea","places","","Temporarily closed","","https://www.google.com/maps/dir//ONE+ZO+Bubble+Tea+%E4%B8%B8%E4%BD%9C%E9%A3%9F%E8%8C%B6,+49+Red+Lion+St,+London+WC1R+4PF/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761bb46b757af9:0x394da3e3ff3da6c1?sa=X&ved=1t:57443&ictx=111",""
"Mooboo Bubble Tea - Stratford","·  · Bubble tea store","4.3","(89)","6 Broadway","· 07477 229798","""Great selection of  and very friendly staff!""","bubble teas","","https://www.mooboo.co/","Temporarily closed","Website","https://www.google.com/maps/dir//Mooboo+Bubble+Tea+-+Stratford,+6+Broadway,+London+E15+4QS/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a7200ac96635:0xa26574659570c5d0?sa=X&ved=1t:57443&ictx=111","££"
"CUPP Bubble Tea - Green Street","·  · Bubble tea store","3.4","(211)","37a Plashet Grove","· 07507 382039","""Quick service and brown sugar premium  tasted fantastic.""","tea","","https://www.cuppbubbletea.co.uk/home","Temporarily closed","Website","https://www.google.com/maps/dir//CUPP+Bubble+Tea+-+Green+Street,+37a+Plashet+Grove,+London+E6+1AD/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x47d8a7124df55189:0x995d3ca207ca6dc?sa=X&ved=1t:57443&ictx=111","££"
"Ding Tea Camberwell","·  · Bubble tea store","4.4","(61)","12 Denmark Hill","· 020 3441 2772","""The  was super tasty and not overly sweet, bubbles were chewy.""","tea","","https://www.facebook.com/Ding-Tea-Camberwell-102206672583873","Temporarily closed","Website","https://www.google.com/maps/dir//Ding+Tea+Camberwell,+12+Denmark+Hill,+London+SE5+8RZ/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760318f2fe0baf:0x821b4e33a5e6564e?sa=X&ved=1t:57443&ictx=111","££"
"Biju Bubble Tea Room","· Bubble tea store","3.9","(42)","Southbank Centre, The Queen's Walk","","""AMAZING SERVICE AND GREAT  HIGHLY RECOMMEND""","BOBA","","","Temporarily closed","","https://www.google.com/maps/dir//Biju+Bubble+Tea+Room,+Southbank+Centre,+The+Queen's+Walk,+London+SE1+8XX/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x487605dea55ec001:0xd8b365ae46b220?sa=X&ved=1t:57443&ictx=111",""
"Biju Bubble Tea Room Camden","· Bubble tea store","4.0","(178)","251 Camden High St","· 020 7482 2226","""Nice employees and lovely drinks!""","","","","Temporarily closed","","https://www.google.com/maps/dir//Biju+Bubble+Tea+Room+Camden,+251+Camden+High+St,+London+NW1+7BU/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48760fda6272c2bd:0x5513d71ea82306b4?sa=X&ved=1t:57443&ictx=111",""
"The Sweet Collab Bethnal Green","· Bubble tea store","4.9","(126)","317 Bethnal Grn Rd","","""There were waffles, milkshakes, and  were delicious.""","bubble teas","","http://www.thesweetcollab.com/","Temporarily closed","Website","https://www.google.com/maps/dir//The+Sweet+Collab+Bethnal+Green,+317+Bethnal+Grn+Rd,+Bethnal+Green,+London+E2+6AH/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x48761de3b3f8db13:0xdd58b3163163b72e?sa=X&ved=1t:57443&ictx=111",""
